depth_zone,phys_zone,contaminant,ssp,n_models,baseline_dry,ensemble_median,ensemble_p5,ensemble_p95,ensemble_std,pct_change_median,pct_change_p5,pct_change_p95
Intermediate,Barind_Tract,Mn2+,ssp585,6,0.61305,0.5779204557819575,0.5493045056435026,0.6215710255149745,0.030287616337949748,-5.730290223969087,-10.39809058910323,1.389939730034168
Intermediate,Barind_Tract,Fe2+,ssp245,5,2.69996,2.6634255438739602,2.5964582737209474,2.7894844401024885,0.07874576316747058,-1.353148051305933,-3.83345406150656,3.3157691263014493
Intermediate,Barind_Tract,Fe2+,ssp585,6,2.69996,2.7002718983886895,2.6298553052901967,2.8076848758552915,0.07453013949470887,0.01155196331388662,-2.59650864123184,3.989869326037851
Intermediate,Barind_Tract,Cr3+,ssp245,5,0.0103,0.010836017808645057,0.010767503815369048,0.010872415042273521,4.279893644625846e-05,5.204056394612203,4.538871993874249,5.557427594888556
Intermediate,Barind_Tract,Cr3+,ssp585,6,0.0103,0.011133629094848259,0.011075249303845158,0.011171901062400024,4.0507712101043514e-05,8.09348635775008,7.526692270341337,8.46505885825266
Intermediate,Barind_Tract,NO3-,ssp245,5,1.0,1.109772602881685,1.0869346051230158,1.1219050140911733,0.014266312148752604,10.9772602881685,8.693460512301577,12.190501409117328
Intermediate,Barind_Tract,NO3-,ssp585,6,1.0,1.1665763649494187,1.1471164346150526,1.1793336874666736,0.013502570700347494,16.657636494941876,14.711643461505265,17.933368746667355
Intermediate,Brahmaputra_Floodplain,As,ssp245,5,1.0633,1.9688911180494961,1.577468390663883,2.1768297270100376,0.24451175054868868,85.16797875007019,48.35590996556786,104.72394686448207
Intermediate,Brahmaputra_Floodplain,As,ssp585,6,1.0633,2.341956476504593,2.0084307845108555,2.5606055028600783,0.23142190949032782,120.25359508178248,88.8865592505272,140.81684405718784
Intermediate,Brahmaputra_Floodplain,Mn2+,ssp245,5,0.3311,0.25887262815496054,0.22996958493059644,0.313279590215439,0.03398663543197375,-21.814367817891714,-30.543767764845537,-5.382183565255515
Intermediate,Brahmaputra_Floodplain,Mn2+,ssp585,6,0.3311,0.24003142578099823,0.20963965634814155,0.28639081781655906,0.032167174179438165,-27.504854792812374,-36.68388512590108,-13.503226271048305
Intermediate,Brahmaputra_Floodplain,Fe2+,ssp245,5,4.2173,4.745178551863616,4.643707044022071,4.799084068108494,0.06338665150812339,12.51697891692828,10.11090138292442,13.795178623965425
Intermediate,Brahmaputra_Floodplain,Fe2+,ssp585,6,4.2173,5.022269747106764,4.935807330638141,5.07895180678318,0.05999327187871443,19.087324760077866,17.037140602711247,20.4313614583544
Intermediate,Brahmaputra_Floodplain,Cr3+,ssp245,5,0.0057,0.0049820753394846035,0.004727294704085348,0.005461673292416664,0.00029959255512380836,-12.595169482726257,-17.065005191485124,-4.181170308479582
Intermediate,Brahmaputra_Floodplain,Cr3+,ssp585,6,0.0057,0.0047659963360621935,0.004498092563199838,0.0051746548730838855,0.0002835539847073001,-16.386029191891346,-21.086095382458986,-9.216581173966926
Intermediate,Brahmaputra_Floodplain,NO3-,ssp245,5,2.1,2.191727397118315,2.1795949859088264,2.2145653948769843,0.014266312148752663,4.367971291348323,3.7902374242298236,5.455494994142107
Intermediate,Brahmaputra_Floodplain,NO3-,ssp585,6,2.1,2.2589236350505812,2.246166312533326,2.2783835653849476,0.013502570700347537,7.567792145265769,6.960300596825043,8.49445549452131
Intermediate,Eastern_Hills,As,ssp245,5,0.2156,0.24004619176946607,0.23907559887270724,0.24187323159015917,0.0011413049718999382,11.338678928323771,10.888496694205577,12.186099995435598
Intermediate,Eastern_Hills,As,ssp585,6,0.2156,0.25594989080404773,0.2549293050026676,0.2575066852307966,0.0010802056560275362,18.715162710597273,18.241792672851375,19.437238047679312
Intermediate,Eastern_Hills,Mn2+,ssp245,5,0.25443,0.22193863378568462,0.2059638879461513,0.25200942543452487,0.018784453206262795,-12.77025752242871,-19.04889834290323,-0.951371522805927
Intermediate,Eastern_Hills,Mn2+,ssp585,6,0.25443,0.2160966402710995,0.1992990737126298,0.2417195305423596,0.017778834841147714,-15.066367853201463,-21.66840635434901,-4.995664606233699
Intermediate,Eastern_Hills,Fe2+,ssp245,5,4.13407,3.613020576229621,3.3844483755251025,4.043283886403404,0.2687744676200727,-12.603788125754505,-18.132775315243762,-2.1960468399566673
Intermediate,Eastern_Hills,Fe2+,ssp585,6,4.13407,3.49487641962593,3.254531014865349,3.861497615139324,0.25438573148040916,-15.461605158453295,-21.27537717393879,-6.593318082680662
Intermediate,Eastern_Hills,Cr3+,ssp245,5,0.0044,0.0031836493106681962,0.0028075445631741782,0.0038916272411867246,0.00044225567661119374,-27.644333848450092,-36.19216901876868,-11.553926336665356
Intermediate,Eastern_Hills,Cr3+,ssp585,6,0.0044,0.002768332686568616,0.002372855688533837,0.003371590526933776,0.00041857969171064143,-37.08334803253146,-46.071461624230984,-23.372942569686916
Intermediate,Eastern_Hills,NO3-,ssp245,5,1.4,1.535772602881685,1.5129346051230157,1.5479050140911732,0.014266312148752604,9.698043062977503,8.066757508786843,10.564643863655236
